,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,wiscosin,10,MAE,0.18737862395247568
1,mean,wiscosin,10,MAE,0.1832226220672895
2,mean,wiscosin,10,MAE,0.17734965593384697
3,mean,wiscosin,10,MAE,0.15328782404982616
4,mean,wiscosin,10,MAE,0.17411995891121662
5,mean,wiscosin,20,MAE,0.17339515708957007
6,mean,wiscosin,20,MAE,0.1727218742789964
7,mean,wiscosin,20,MAE,0.1706861780219693
8,mean,wiscosin,20,MAE,0.14893277668818863
9,mean,wiscosin,20,MAE,0.15507557745362574
10,mean,wiscosin,40,MAE,0.17414023686898525
11,mean,wiscosin,40,MAE,0.170722136148184
12,mean,wiscosin,40,MAE,0.18021464798262343
13,mean,wiscosin,40,MAE,0.15354331279599479
14,mean,wiscosin,40,MAE,0.15161643006546832
15,mean,wiscosin,60,MAE,0.1919679009365581
16,mean,wiscosin,60,MAE,0.18706087620916484
17,mean,wiscosin,60,MAE,0.2002113721598607
18,mean,wiscosin,60,MAE,0.16974437132012976
19,mean,wiscosin,60,MAE,0.16324632992685398
20,mean,pima_diabetes,10,MAE,0.15377207994214626
21,mean,pima_diabetes,10,MAE,0.12935041394822397
22,mean,pima_diabetes,10,MAE,0.14735056869752722
23,mean,pima_diabetes,10,MAE,0.14724315723191922
24,mean,pima_diabetes,10,MAE,0.11611717536492733
25,mean,pima_diabetes,20,MAE,0.1365045622888478
26,mean,pima_diabetes,20,MAE,0.1262056181608376
27,mean,pima_diabetes,20,MAE,0.14533642874671665
28,mean,pima_diabetes,20,MAE,0.14488358906958315
29,mean,pima_diabetes,20,MAE,0.12327620306064327
30,mean,pima_diabetes,40,MAE,0.1240664266831214
31,mean,pima_diabetes,40,MAE,0.12218357570176408
32,mean,pima_diabetes,40,MAE,0.1325118641884177
33,mean,pima_diabetes,40,MAE,0.15179265375016715
34,mean,pima_diabetes,40,MAE,0.13039696632782777
35,mean,pima_diabetes,60,MAE,0.1269057251109502
36,mean,pima_diabetes,60,MAE,0.12449086089253354
37,mean,pima_diabetes,60,MAE,0.1336423845763213
38,mean,pima_diabetes,60,MAE,0.17413900523227216
39,mean,pima_diabetes,60,MAE,0.14546854994025976
40,mean,bc_coimbra,10,MAE,0.18343926936420304
41,mean,bc_coimbra,10,MAE,0.21894738419141255
42,mean,bc_coimbra,10,MAE,0.27590578395520565
43,mean,bc_coimbra,10,MAE,0.10665984457699948
44,mean,bc_coimbra,10,MAE,0.21982250393758945
45,mean,bc_coimbra,20,MAE,0.19809303549353804
46,mean,bc_coimbra,20,MAE,0.25065697202833925
47,mean,bc_coimbra,20,MAE,0.28485410124489163
48,mean,bc_coimbra,20,MAE,0.14385667098036978
49,mean,bc_coimbra,20,MAE,0.2594546178392264
50,mean,bc_coimbra,40,MAE,0.215881421382831
51,mean,bc_coimbra,40,MAE,0.24996127513615654
52,mean,bc_coimbra,40,MAE,0.26998173503049194
53,mean,bc_coimbra,40,MAE,0.12586287132783425
54,mean,bc_coimbra,40,MAE,0.2263548382830737
55,mean,bc_coimbra,60,MAE,0.21887969440870983
56,mean,bc_coimbra,60,MAE,0.23234228857524108
57,mean,bc_coimbra,60,MAE,0.2720779493913008
58,mean,bc_coimbra,60,MAE,0.12965736510289574
59,mean,bc_coimbra,60,MAE,0.20531281639186205
60,mean,indian_liver,10,MAE,0.0804463260364994
61,mean,indian_liver,10,MAE,0.06636990204800435
62,mean,indian_liver,10,MAE,0.13305645372511904
63,mean,indian_liver,10,MAE,0.09000994009619066
64,mean,indian_liver,10,MAE,0.16910909674584645
65,mean,indian_liver,20,MAE,0.08624736803998384
66,mean,indian_liver,20,MAE,0.0751917276821342
67,mean,indian_liver,20,MAE,0.13011740295687302
68,mean,indian_liver,20,MAE,0.08827010366063766
69,mean,indian_liver,20,MAE,0.15799990919720158
70,mean,indian_liver,40,MAE,0.08140293585472123
71,mean,indian_liver,40,MAE,0.08263131061024483
72,mean,indian_liver,40,MAE,0.12450566458958538
73,mean,indian_liver,40,MAE,0.08169384226414164
74,mean,indian_liver,40,MAE,0.15229944997289152
75,mean,indian_liver,60,MAE,0.07948993958321655
76,mean,indian_liver,60,MAE,0.09548955911361776
77,mean,indian_liver,60,MAE,0.11339312587199171
78,mean,indian_liver,60,MAE,0.08059455827582765
79,mean,indian_liver,60,MAE,0.15569900424100747
80,mean,parkinsons,10,MAE,0.25039879441915136
81,mean,parkinsons,10,MAE,0.16438334885212405
82,mean,parkinsons,10,MAE,0.233427678213741
83,mean,parkinsons,10,MAE,0.16418818340287042
84,mean,parkinsons,10,MAE,0.13711015710532243
85,mean,parkinsons,20,MAE,0.22262646641270206
86,mean,parkinsons,20,MAE,0.16047235505090784
87,mean,parkinsons,20,MAE,0.21828507658355328
88,mean,parkinsons,20,MAE,0.14872893432920217
89,mean,parkinsons,20,MAE,0.14288061148929054
90,mean,parkinsons,40,MAE,0.19278279651865426
91,mean,parkinsons,40,MAE,0.15653078053840722
92,mean,parkinsons,40,MAE,0.2092770318497814
93,mean,parkinsons,40,MAE,0.15015648018366592
94,mean,parkinsons,40,MAE,0.1504304978272015
95,mean,parkinsons,60,MAE,0.19573527175680752
96,mean,parkinsons,60,MAE,0.16250537070329055
97,mean,parkinsons,60,MAE,0.20650703565890183
98,mean,parkinsons,60,MAE,0.16592048295031148
99,mean,parkinsons,60,MAE,0.18225053355131082
100,mean,mammographic_masses,10,MAE,0.3775703171163868
101,mean,mammographic_masses,10,MAE,0.4432075216979039
102,mean,mammographic_masses,10,MAE,0.3667935099312439
103,mean,mammographic_masses,10,MAE,0.4051045758055136
104,mean,mammographic_masses,10,MAE,0.36242741246499627
105,mean,mammographic_masses,20,MAE,0.36986743156608337
106,mean,mammographic_masses,20,MAE,0.4101589543921837
107,mean,mammographic_masses,20,MAE,0.36403022152708964
108,mean,mammographic_masses,20,MAE,0.4106513950130284
109,mean,mammographic_masses,20,MAE,0.36352414006539346
110,mean,mammographic_masses,40,MAE,0.37481174189579214
111,mean,mammographic_masses,40,MAE,0.37020374246165555
112,mean,mammographic_masses,40,MAE,0.3615901312357798
113,mean,mammographic_masses,40,MAE,0.4112417049746673
114,mean,mammographic_masses,40,MAE,0.3496535578317008
115,mean,mammographic_masses,60,MAE,0.37784051699640253
116,mean,mammographic_masses,60,MAE,0.361595545018678
117,mean,mammographic_masses,60,MAE,0.3365269408391971
118,mean,mammographic_masses,60,MAE,0.39337998752313474
119,mean,mammographic_masses,60,MAE,0.34011680932539856
120,mean,hcv_egyptian,10,MAE,0.31529583551750323
121,mean,hcv_egyptian,10,MAE,0.32625950108504076
122,mean,hcv_egyptian,10,MAE,0.3162553070796508
123,mean,hcv_egyptian,10,MAE,0.3024788271018301
124,mean,hcv_egyptian,10,MAE,0.30456358022188895
