,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,sylva_prior,10,MAE,0.08809969048755593
1,mean,sylva_prior,10,MAE,0.08742938250709882
2,mean,sylva_prior,10,MAE,0.08770974250350237
3,mean,sylva_prior,10,MAE,0.08744690473938464
4,mean,sylva_prior,10,MAE,0.0880153916432518
5,mean,sylva_prior,20,MAE,0.08725060513451977
6,mean,sylva_prior,20,MAE,0.08663834907235159
7,mean,sylva_prior,20,MAE,0.08726600103827237
8,mean,sylva_prior,20,MAE,0.08748158290029855
9,mean,sylva_prior,20,MAE,0.0864591507183059
10,mean,sylva_prior,40,MAE,0.09025603130062185
11,mean,sylva_prior,40,MAE,0.08927922074983227
12,mean,sylva_prior,40,MAE,0.0896378021331737
13,mean,sylva_prior,40,MAE,0.09011114811821973
14,mean,sylva_prior,40,MAE,0.08949904339663808
15,mean,sylva_prior,60,MAE,0.09498409024705959
16,mean,sylva_prior,60,MAE,0.09425291987022534
17,mean,sylva_prior,60,MAE,0.09500910007292551
18,mean,sylva_prior,60,MAE,0.09484892535149324
19,mean,sylva_prior,60,MAE,0.09437049780975088
20,mean,fri_c4_1000_100,10,MAE,0.30233611102207864
21,mean,fri_c4_1000_100,10,MAE,0.25351502870201925
22,mean,fri_c4_1000_100,10,MAE,0.7144054708646039
23,mean,fri_c4_1000_100,10,MAE,1.0708670267602765
24,mean,fri_c4_1000_100,10,MAE,0.582390836152605
25,mean,fri_c4_1000_100,20,MAE,0.36654851289337304
26,mean,fri_c4_1000_100,20,MAE,0.3327166752947591
27,mean,fri_c4_1000_100,20,MAE,0.44513827475901735
28,mean,fri_c4_1000_100,20,MAE,0.6505239840870172
29,mean,fri_c4_1000_100,20,MAE,0.2643255894591092
30,mean,fri_c4_1000_100,40,MAE,0.19955798328979327
31,mean,fri_c4_1000_100,40,MAE,0.1956863760186334
32,mean,fri_c4_1000_100,40,MAE,0.3919355731584033
33,mean,fri_c4_1000_100,40,MAE,0.4208345051743337
34,mean,fri_c4_1000_100,40,MAE,0.268377307832931
35,mean,fri_c4_1000_100,60,MAE,0.23189639623209907
36,mean,fri_c4_1000_100,60,MAE,0.17700391345189248
37,mean,fri_c4_1000_100,60,MAE,0.38375292184166077
38,mean,fri_c4_1000_100,60,MAE,0.3960412252339752
39,mean,fri_c4_1000_100,60,MAE,0.29843496562073424
40,knn,sylva_prior,10,MAE,0.05308399484371137
41,knn,sylva_prior,10,MAE,0.053519677033170676
42,knn,sylva_prior,10,MAE,0.05370843680878529
43,knn,sylva_prior,10,MAE,0.053567132169211065
44,knn,sylva_prior,10,MAE,0.05198475980715651
45,knn,sylva_prior,20,MAE,0.0680556972192162
46,knn,sylva_prior,20,MAE,0.06826986622614487
47,knn,sylva_prior,20,MAE,0.06890444276497618
48,knn,sylva_prior,20,MAE,0.06634209110494184
49,knn,sylva_prior,20,MAE,0.06548421653879573
50,knn,sylva_prior,40,MAE,0.08733433561589879
51,knn,sylva_prior,40,MAE,0.08829559258916513
52,knn,sylva_prior,40,MAE,0.08757245957949479
53,knn,sylva_prior,40,MAE,0.08704861362676596
54,knn,sylva_prior,40,MAE,0.08656039255553154
55,knn,sylva_prior,60,MAE,0.11177033265683377
